('POSITIVE', -15.703401006743514)
('NEGATIVE', -8.918105163419433)
('POSITIVE', -22.32723347939175)
('NEGATIVE', -14.494322921871957)
('POSITIVE', -12.559674142207788)
('NEGATIVE', -27.650071546044163)
('POSITIVE', -31.854197753531327)
('NEGATIVE', -32.50883297364315)
('POSITIVE', -18.992390118419838)
('POSITIVE', -16.24419133351787)
('NEGATIVE', -4.890187260210695)
('NEGATIVE', -21.346258435474134)
('POSITIVE', -8.575761818026928)
('POSITIVE', -65.01983164089451)
('NEGATIVE', -19.210674833378647)
('POSITIVE', -23.86328052902494)
('POSITIVE', -23.92742695798404)
('NEGATIVE', -27.94877453149965)
('POSITIVE', -34.72479647918003)
('POSITIVE', -43.13704434572318)
('POSITIVE', -31.78030827662262)
('NEGATIVE', -27.86459878433254)
('POSITIVE', -36.42510257091264)
('POSITIVE', -18.272552997498405)
('NEGATIVE', -5.016341351286252)
('POSITIVE', -11.676748903347255)
('NEGATIVE', -27.170189303486566)
('POSITIVE', -41.026195959975716)
('POSITIVE', -51.3496900863497)
('NEGATIVE', -28.80596898129103)
('POSITIVE', -8.13741215466124)
('POSITIVE', -27.397392500772987)
('NEGATIVE', -6.109472174491028)
('POSITIVE', -16.790361718312543)
('POSITIVE', -33.04010573607818)
('NEGATIVE', -3.4026121883850964)
('POSITIVE', -11.897032241206755)
('POSITIVE', -30.52355367441414)
('POSITIVE', -25.6883041533978)
('NEGATIVE', -12.337771199167424)
('NEGATIVE', -21.149592853187613)
('POSITIVE', -11.708097656102881)
('NEGATIVE', -5.802402034871196)
('POSITIVE', -35.1208863459547)
('POSITIVE', -5.656220371217706)
('NEGATIVE', -7.489683416202634)
('POSITIVE', -22.983790767450984)
('POSITIVE', -9.143422360177464)
('POSITIVE', -5.926761044733787)
('NEGATIVE', -12.20088445950899)
('NEGATIVE', -11.733721704206868)
('POSITIVE', -23.707647850144813)
('NEGATIVE', -0.3010299956639812)
('POSITIVE', -20.384470801762806)
('POSITIVE', -30.897665588820022)
('POSITIVE', -55.43957676946413)
('POSITIVE', -13.913881574368597)
('POSITIVE', -4.388571864864446)
('NEGATIVE', -14.979128186454298)
('POSITIVE', -14.306672195834345)
('NEGATIVE', -19.56280139989519)
('NEGATIVE', -18.23362639993733)
('POSITIVE', -8.195615067204223)
('NEGATIVE', -19.7259409656488)
('POSITIVE', -11.43846777070474)
('NEGATIVE', -27.23599083146085)
('NEGATIVE', -43.84547355179567)
('POSITIVE', -35.40839838825935)
('POSITIVE', -29.36439319010399)
('POSITIVE', -3.47629088859582)
('POSITIVE', -28.86582994446638)
('NEGATIVE', -21.62261434072496)
('POSITIVE', -25.312041453191803)
('POSITIVE', -18.800084230608906)
('POSITIVE', -2.8815301360093573)
('POSITIVE', -10.784323202764163)
('NEGATIVE', -20.586585990882732)
('POSITIVE', -7.0209709061709376)
('POSITIVE', -22.363177877470765)
('NEGATIVE', -5.802402034871196)
('POSITIVE', -50.95087835876757)
('POSITIVE', -20.380391637056015)
('POSITIVE', -16.71128822999004)
('POSITIVE', -5.548937831683813)
('NEGATIVE', -7.4891482411726145)
('NEGATIVE', -12.235492187992065)
('POSITIVE', -10.987902926025058)
('NEGATIVE', -0.3010299956639812)
('NEGATIVE', -29.507361869667854)
('POSITIVE', -25.458688123582217)
('NEGATIVE', -23.197500140261198)
('POSITIVE', -25.50985850111036)
('POSITIVE', -22.526149084408065)
('POSITIVE', -3.824723577246907)
('POSITIVE', -10.34684716638338)
('POSITIVE', -30.575201985563908)
('POSITIVE', -15.205402834503243)
('POSITIVE', -15.54484574832175)
('NEGATIVE', -28.68806496355545)
('POSITIVE', -10.276011220385607)
('NEGATIVE', -24.101495536507908)
('POSITIVE', -2.89650729197901)
('NEGATIVE', -40.42484935340053)
('NEGATIVE', -4.001383833691046)
('POSITIVE', -39.40973071243117)
('POSITIVE', -7.939183695056581)
